Epoch	Epoch Train cost	Epoch Test cost	1/Epoch Test cost
0	1932156.11	2199206.8125	4.54709395368e-07
1	1909584.34	2193126.1875	4.55970115035e-07
2	1906607.05	2191228.6875	4.56364963504e-07
3	1904859.4	2189616.6875	4.56700940264e-07
4	1903010.86	2187922.875	4.57054501978e-07
5	1901346.23	2186403.1875	4.57372183556e-07
6	1899652.02	2184540.3125	4.57762209412e-07
7	1898018.58	2183073.8125	4.58069715405e-07
8	1896503.24	2181622.8125	4.58374378133e-07
9	1895007.04	2180187.75	4.58676093378e-07
10	1893524.8	2178764.125	4.58975796657e-07
